name,combined_features
GunWorld,Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Action;Indie;Platformer
Gremlin Invasion: Survivor,Action;Adventure;Indie Single-player;Co-op Adventure;Action;Indie
Exostorm,Action;Indie Single-player;Full controller support Action;Indie;Bullet Hell
Time Mysteries: Inheritance - Remastered,Adventure;Casual Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Casual;Hidden Object;Adventure
The Gate,Action;Free to Play;RPG Single-player;Multi-player Free to Play;Action;RPG
Environmental Station Alpha,Action;Adventure;Indie Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud Metroidvania;Pixel Graphics;Indie
Wolfenstein: The Old Blood,Action Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards Action;FPS;World War II
No Pineapple Left Behind,Indie;Simulation;Strategy Single-player;Steam Achievements Strategy;Simulation;Indie
TransOcean 2: Rivals,Simulation;Strategy Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud Simulation;Economy;Strategy
Scraps: Modular Vehicle Combat,Action;Indie;Early Access Single-player;Multi-player;Partial Controller Support Early Access;Action;Indie
Revolution 60,Adventure Single-player;Captions available Memes;Walking Simulator;Villain Protagonist
Mighty Switch Force! Academy,Action;Indie;Strategy Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards Indie;Action;Strategy
Dead Sea,Action;Adventure;Casual;Indie;Simulation;Early Access Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support Early Access;Adventure;Simulation
BLADESTORM: Nightmare,Action Single-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards Action;Strategy;Hack and Slash
Call of the Ninja!,Casual;Indie Single-player;Steam Achievements;Steam Cloud Casual;Indie;Puzzle-Platformer
The Martian VR Experience,Adventure;Casual;Simulation Single-player Adventure;Simulation;Casual
Tales of Cosmos,Adventure;Indie Single-player;Steam Achievements;Includes level editor Adventure;Indie;Point & Click
Love And Order,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Casual;Indie;Anime
Fly in the House,Action;Indie;Simulation Single-player;Steam Trading Cards Action;Simulation;Indie
Airport Firefighters - The Simulation,Simulation Single-player;Steam Achievements;Partial Controller Support Simulation;Action;First-Person
Helicopter 2015: Natural Disasters,Simulation Single-player;Partial Controller Support Simulation
Area-X,Adventure;Casual;Indie;Simulation Single-player;Steam Trading Cards Visual Novel;Indie;Adventure
BIOS,Action;Indie Single-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Action;Shooter;FPS
Combat Cats,Action;Adventure;Casual;Indie;RPG;Strategy Single-player;Steam Achievements;Steam Leaderboards Casual;Indie;Action
Sandmason,Action;Adventure;Indie Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud Indie;Action;Adventure
Dodge,Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Indie;Casual;Arcade
Sherlock Holmes: The Devil's Daughter,Action;Adventure Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Detective;Adventure;Story Rich
Red Stone Online,Free to Play;Massively Multiplayer;RPG Multi-player;MMO Free to Play;RPG;Massively Multiplayer
Wizards' Clash,Casual;Indie;Strategy Single-player Strategy;Indie;Casual
The Bug Butcher,Action;Indie Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Indie;Action;Shoot 'Em Up
Giana Sisters 2D,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Leaderboards Indie;Platformer;Action
MANOS,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Leaderboards Indie;Action;Adventure
Cannibal,Action;Adventure;Indie;Simulation;Strategy;Early Access Single-player;Captions available Early Access;Simulation;Survival
Pixel Puzzles 2: Anime,Action;Casual;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards Anime;Casual;Indie
Archamon,Indie;Strategy Single-player;Steam Achievements;Includes level editor Strategy;Indie
Streets of Fury EX,Action;Indie Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support;Steam Cloud Action;Co-op;Indie
Planet of the Eyes,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Adventure;Indie;Action
Bloodwood Reload,Adventure;Free to Play;Indie Single-player Free to Play;Horror;Adventure
Pixel Puzzles Ultimate,Casual;Free to Play;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Free to Play;Puzzle;Casual
Cricket Captain 2015,Simulation;Sports Single-player;Multi-player;Steam Achievements;Steam Trading Cards Sports;Simulation;Management
Outpost 13,Adventure;Indie Single-player;Steam Trading Cards;Partial Controller Support Adventure;Indie;Point & Click
The Corporate Machine,Simulation;Strategy Single-player;Multi-player Simulation;Strategy;Management
Regency Solitaire,Casual Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Casual;Card Game;Family Friendly
Niffelheim,Action;Adventure;Indie;RPG Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud RPG;Adventure;Indie
Rustbucket Rumble,Action;Casual;Free to Play;Indie Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards Free to Play;Action;Indie
DRAGON: A Game About a Dragon,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards Indie;Adventure;Anime
Pixel: ru²,Action;Indie;Strategy;Early Access Single-player;Steam Achievements;Steam Trading Cards;Captions available;VR Support;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor Early Access;Strategy;Action
Tower of Eglathia,RPG Single-player RPG;Turn-Based;Adventure
Counter Spell,Action;Indie;RPG Single-player;Multi-player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Includes level editor Action;RPG;Indie
Venusian Vengeance,Action;Indie Single-player;Steam Achievements;Steam Trading Cards Action;Indie;Pixel Graphics
Avalanche 2: Super Avalanche,Action;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Indie;Action;Local Co-Op
SURVIVAL,Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access Multi-player;Steam Achievements Early Access;Survival;Open World
Ceres,Action;Indie;RPG;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Action;Strategy;Space
DROD: The Second Sky,Adventure;Indie;Strategy Single-player;Steam Achievements;Captions available;Steam Cloud;Includes level editor Indie;Strategy;Adventure
DROD RPG: Tendry's Tale,Adventure;Indie;RPG;Strategy Single-player;Steam Achievements;Captions available;Steam Cloud;Steam Leaderboards;Includes level editor Indie;RPG;Strategy
Belladonna,Adventure;Indie Single-player;Steam Trading Cards Adventure;Indie;Point & Click
The Defenders: The Second Wave,Action;Strategy Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Strategy
Clean'Em Up,Action;Free to Play;Indie Single-player Free to Play;Indie;Action
Veteran Combat,Action;Casual Single-player;Shared/Split Screen Action;Casual;Fighting
Sometimes: Success Requires Sacrifice,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Trading Cards;Partial Controller Support Casual;Indie;Action
Age of Fear: The Undead King,Indie;RPG;Strategy Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud RPG;Indie;Strategy
Intergalactic Bubbles,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards Casual;Indie;Puzzle
Quiplash,Casual;Indie;Strategy Local Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud Casual;Multiplayer;Indie
Fire With Fire Tower Attack and Defense,Casual;Free to Play;Indie;Strategy;Early Access Multi-player;Steam Achievements Early Access;Free to Play;Tower Defense
Eternal Senia,Action;Free to Play;Indie;RPG Single-player Anime;Free to Play;RPG
Apple Jack 1&2,Action;Indie Single-player;Partial Controller Support Action;Indie;Puzzle-Platformer
UnReal World,Indie;RPG;Simulation;Strategy Single-player;Steam Trading Cards Survival;RPG;Rogue-like
Hyperdimension Neptunia Re;Birth2: Sisters Generation / 超次次元ゲイム ネプテューヌRe;Birth2 / 超次次元遊戲 戰機少女 重生2,RPG;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Anime;JRPG;Female Protagonist
Zotrix - Solar Division,Casual;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards Tower Defense;Strategy;Indie
On My Own,Adventure;Casual;Indie;Simulation;Strategy Single-player;Steam Achievements;Stats Adventure;Survival;Indie
Invisible Apartment,Adventure;Free to Play;Indie Single-player Free to Play;Anime;Visual Novel
Dev Guy,Adventure;Free to Play;Indie Single-player Free to Play;Indie;Adventure
MadSpace: To Hell and Beyond,Action Single-player Action;FPS;Classic
Z.A.R.,Action Single-player Action;FPS;Classic
Cultures - Northland,Strategy Single-player;Multi-player Strategy;City Builder;RTS
Cultures - 8th Wonder of the World,Strategy Single-player;Multi-player Strategy;City Builder;RTS
Valhalla Hills,Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Strategy;City Builder;Simulation
Crazy Machines 3,Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor Simulation;Strategy;Physics
The Descendant,Adventure;Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available Adventure;Casual;Point & Click
Tales of Zestiria,RPG Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud JRPG;Anime;RPG
Riff Racer - Race Your Music!,Casual;Indie;Racing Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Racing;Indie;Music
Beach Bounce,Adventure;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Nudity;Visual Novel;Anime
The World Named Fred,Action;Adventure;Indie;RPG Single-player Action;Adventure;Indie
Chesster,Indie;Simulation Single-player;Steam Trading Cards Indie;Simulation;Chess
Fort Meow,Adventure;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards Strategy;Cats;Indie
Fair Strike,Action;Simulation Single-player;Steam Trading Cards;Partial Controller Support Action;Simulation
Locoland,Indie;Strategy Single-player;Steam Trading Cards Strategy;Indie;Trains
Finders,Casual;Simulation;Strategy Single-player;Steam Trading Cards Casual;Strategy;Simulation
Curse of Mermos,Action;Free to Play;Indie Single-player;Full controller support Free to Play;Indie;Action
MadOut,Action;Indie;Racing;Simulation Single-player;Full controller support Racing;Action;Indie
Spirit of War,Strategy Single-player;Multi-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud Strategy;World War I;Turn-Based Strategy
Little Cells,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Indie;Casual
King of Dragon Pass,RPG;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Strategy;RPG;Fantasy
The Westport Independent,Indie;Simulation Single-player;Steam Achievements;Steam Cloud Indie;Simulation;Dystopian 
Reflections,Adventure;Indie;Early Access Single-player;Full controller support;Captions available;VR Support Early Access;Adventure;Indie
Defect,Action;Indie;Strategy Single-player;Steam Achievements;Partial Controller Support;Steam Cloud Strategy;Action;Indie
LEGO® Jurassic World,Action;Adventure Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud LEGO;Dinosaurs;Adventure
Farlight Explorers,Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards Indie;Building;Sandbox
Catacombs of the Undercity,Adventure;Indie;RPG Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Adventure;RPG;Indie
Dead Realm,Action;Adventure;Indie;Strategy Multi-player;Cross-Platform Multiplayer;Steam Achievements;Stats;Steam Leaderboards Horror;Multiplayer;Survival Horror
The Silent Age,Adventure;Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Cloud Adventure;Point & Click;Atmospheric
Poppy Kart,Indie;Racing Single-player;Full controller support Racing;Indie
Urban Empire,Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Simulation;City Builder
Hidden: On the trail of the Ancients,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Captions available Adventure;Indie;Horror
The Way We All Go,Violent;Gore;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Visual Novel;Indie;Gore
Porcunipine,Action;Indie Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards Indie;Action;4 Player Local
The Indie Mixtape,Action;Adventure;Indie;RPG Single-player;Multi-player;Shared/Split Screen;Partial Controller Support Indie;Adventure;RPG
Subspace Continuum,Action;Casual;Free to Play;Massively Multiplayer Online Multi-Player;MMO;Cross-Platform Multiplayer;Partial Controller Support;Stats Free to Play;Massively Multiplayer;Action
The Universim,Indie;Simulation;Strategy;Early Access Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Early Access;God Game;Simulation
Princess Battles,Adventure;Casual;Simulation Single-player;Steam Achievements;Steam Trading Cards Adventure;Casual;Simulation
Road Works,Casual;Indie;Simulation;Strategy Single-player;Steam Leaderboards;Includes level editor Strategy;Indie;Casual
Kaiju Panic,Action;Indie;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats Action;Strategy;Indie
An Octave Higher,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards Visual Novel;Adventure;Indie
Futuridium EP Deluxe,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Action;Indie;Colorful
Yukie: A Japanese Winter Fairy Tale,Adventure;Indie Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud Indie;Adventure;RPGMaker
DGU: Death God University,Action;Adventure;Casual;Indie;Strategy Single-player;Full controller support;Steam Cloud Strategy;Action;Adventure
Caravan,Adventure;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Adventure;Indie
Giana Sisters: Dream Runners,Action;Indie;Racing Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards Action;Indie;Racing
Better Late Than DEAD,Action;Adventure;Indie Single-player;Multi-player Survival;Open World;Multiplayer
Star Horizon,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Action;Space
Ghost Encounters: Deadwood - Collector's Edition,Adventure;Casual Single-player;Steam Trading Cards Adventure;Casual;Hidden Object
Redrum: Time Lies,Adventure;Casual;Indie Single-player;Steam Trading Cards Adventure;Indie;Casual
Chicken Invaders 5,Action;Casual;Indie Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Action;Casual;Indie
Dreamscapes: Nightmare's Heir - Premium Edition,Adventure;Casual Single-player;Steam Cloud Casual;Adventure;Hidden Object
Time of Dragons,Action;Free to Play;Indie;Massively Multiplayer;Simulation Multi-player Dragons;Free to Play;Flight
Bombshell,Action;Adventure Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Adventure;Female Protagonist
Snails,Action;Strategy Single-player;Steam Achievements Strategy;Action
Hyperdimension Neptunia Re;Birth3 V Generation / 神次次元ゲイム ネプテューヌRe;Birth3 V CENTURY / 神次次元遊戲 戰機少女 重生3 Ｖ世紀,RPG;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Anime;JRPG;RPG
Metamorphabet,Casual;Indie Single-player Casual;Indie;Education
Rooftop Cop,Indie Single-player Indie
Love at First Sight,Indie Single-player;Steam Achievements;Steam Trading Cards Visual Novel;Indie;Anime
Dungeon Highway,Action;Indie Single-player;Steam Trading Cards;Partial Controller Support;Steam Leaderboards Indie;Action;Fantasy
how do you Do It?,Free to Play;Indie Single-player Free to Play;Indie;Nudity
Stephen's Sausage Roll,Indie Single-player;Full controller support;Captions available;Steam Cloud Indie;Puzzle;Difficult
House of Caravan,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support Indie;Adventure;Horror
Plug & Play,Adventure;Casual;Indie Single-player Indie;Short;Casual
Spellbind,Adventure;Indie;RPG Single-player Adventure;Indie;RPG
DEUS EX MACHINA 2,Indie Single-player Indie;Surreal
Oil Enterprise,Indie;Simulation;Strategy Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Indie;Simulation
Train Valley,Casual;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Casual;Puzzle
The Deadly Tower of Monsters,Action;Adventure;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Adventure;Indie
Spud!,Adventure Single-player Adventure;Point & Click;Classic
Casey Powell Lacrosse 16,Sports Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Sports;Action;Simulation
Aces of the Luftwaffe,Action Single-player;Steam Achievements;Full controller support;Steam Cloud Action;Shoot 'Em Up;Bullet Hell
Ankh - Anniversary Edition,Adventure Single-player;Steam Trading Cards Adventure;Point & Click;Singleplayer
Parvaneh: Legacy of the Light's Guardians,Action;Adventure;Indie Single-player;Steam Trading Cards Action;Adventure;Indie
VolChaos,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards Adventure;Action;Indie
Hypership Out of Control,Action;Casual;Indie;Racing Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards Indie;Action;Casual
Starlight Tactics™,Action;Indie;Strategy Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Strategy;Action;Indie
Five Nights at Freddy's 3,Action;Indie;Simulation Single-player Horror;Singleplayer;Survival Horror
WRC 5 FIA World Rally Championship,Racing Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Racing;Simulation;Multiplayer
Bunker - The Underground Game,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards Indie;Adventure;Point & Click
Aberoth,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG Multi-player;Online Multi-Player;MMO;Steam Achievements Free to Play;Pixel Graphics;Massively Multiplayer
Devouring Stars,Indie;Strategy Single-player;Multi-player;Steam Achievements Strategy;Indie
"Please, Don’t Touch Anything",Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Commentary available Puzzle;Indie;Pixel Graphics
ChaosTower,Action;Casual;Indie;Simulation Single-player;Steam Achievements;Steam Cloud Action;Indie;Casual
LoveBeat,Action;Casual;Free to Play;Massively Multiplayer Single-player;Multi-player;Online Multi-Player;Steam Trading Cards;In-App Purchases Free to Play;Anime;Rhythm
Claws & Feathers,Casual;Strategy Single-player;Steam Trading Cards Casual;Strategy;Match 3
Assassin’s Creed® Chronicles: China,Action;Adventure Single-player;Steam Trading Cards;Partial Controller Support Assassin;Female Protagonist;Action
Tadpole Treble,Action;Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor;Commentary available Indie;Music;Adventure
STAR WARS™ - X-Wing Special Edition,Action;Simulation Single-player;Partial Controller Support;Steam Cloud Action;Star Wars;Space Sim
We Are Legion,Indie;Strategy Multi-player Strategy;Indie
Decisive Campaigns: Case Blue,Simulation;Strategy Single-player;Multi-player Strategy;Simulation;World War II
Miner Warfare,Action;Casual;Indie Multi-player;Shared/Split Screen;Full controller support;Steam Trading Cards Indie;4 Player Local;Local Multiplayer
The Settlers Online,Free to Play;Simulation;Strategy Single-player;Multi-player;Steam Trading Cards;Steam Cloud Free to Play;City Builder;Strategy
Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,Adventure;Casual;Indie Single-player Adventure;Casual;Indie
The Lost City Of Malathedra,Adventure;Casual;Indie Single-player Adventure;Indie;Casual
STATIC: Investigator Training,Adventure;Casual;Indie Single-player Adventure;Indie;Casual
Deadly Sin,Casual;RPG Single-player;Full controller support RPG;Casual;RPGMaker
Echoes of Aetheria,Indie;RPG Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud RPG;Indie;Steampunk
Trigger Saint,Adventure;Indie;RPG Single-player;Steam Achievements;Stats;Steam Leaderboards RPG;Adventure;Indie
Prison Tycoon Alcatraz,Simulation Single-player Simulation;Management
The Adventures of Tree,Adventure;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Adventure;RPG
Pester,Indie Single-player;Full controller support;Steam Trading Cards Indie;Shoot 'Em Up;Bullet Hell
Slinki,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards Indie;Adventure;Platformer
East Tower - Akio (East Tower Series Vol. 1),Adventure;Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Visual Novel;Indie;Casual
An Imp? A Fiend!,Action;Adventure;Indie Single-player;Full controller support;Steam Trading Cards;Steam Cloud Indie;Action;Adventure
Shin Samurai Jazz,Action;Adventure;Indie Single-player;Steam Achievements;Partial Controller Support Action;Adventure;Indie
Race Arcade,Indie;Racing;Sports Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor Indie;Racing;Sports
Bomb The Monsters!,Action;Adventure;Casual;Strategy Single-player Action;Adventure;Casual
Sky Force Anniversary,Action;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Shoot 'Em Up;Indie;Action
Sébastien Loeb Rally EVO,Racing;Simulation;Sports Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Racing;Simulation;Sports
TDP5 Arena 3D,Action;Free to Play;Massively Multiplayer Multi-player Free to Play;Action;Massively Multiplayer
Crazy Steam Bros 2,Action;Casual;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards Action;Indie;Casual
Second Coming: Tactical Training,Casual Multi-player;Steam Achievements Casual;Multiplayer
Dungeon Crawlers HD,Indie;RPG;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support Strategy;Indie;RPG
Pirates Deck,Casual;Indie;Strategy Single-player;Steam Cloud Indie;Strategy;Casual
MotoGP™15,Racing;Simulation;Sports Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Racing;Simulation;Sports
Traps N' Gemstones,Action;Adventure;Casual;Indie Single-player;Full controller support;Steam Cloud Adventure;Indie;Action
Sam & Max Hit the Road,Adventure Single-player;Steam Cloud Adventure;Point & Click;Comedy
Codename CURE,Action;Free to Play Single-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Partial Controller Support;Includes level editor Free to Play;Zombies;Multiplayer
Geocore,Action;Indie;Early Access Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Trading Cards;VR Support;Partial Controller Support Early Access;Indie;Action
Faceted Flight,Action;Adventure;Casual;Indie;Racing;Simulation;Early Access Single-player;Full controller support;VR Support;Steam Leaderboards Early Access;Simulation;Action
NEO AQUARIUM - The King of Crustaceans -,Action;Indie Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Action;Underwater
STAR WARS™: TIE Fighter Special Edition,Action Single-player;Partial Controller Support;Steam Cloud Action;Star Wars;Space
199X,Adventure;Indie Single-player Adventure;Indie;Short
Brave Furries,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards Casual;Indie;Puzzle
Blood Alloy: Reborn,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Action;Indie;Pixel Graphics
Construction Machines Simulator 2016,Simulation Single-player Simulation;Building;Multiplayer
Reign of Bullets,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards Indie;Action;Shoot 'Em Up
Vidar,Adventure;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards Adventure;Indie;RPG
Perfection of Wisdom,Casual;Indie;Strategy Single-player;Multi-player Strategy;Indie;Casual
Diesel Guns,Action;Indie;Racing;Early Access Multi-player;Online Multi-Player;Online Co-op;Full controller support Early Access;Racing;Shooter
Radium,Action;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Action;Indie;Casual
FLAMBERGE,Adventure;RPG;Strategy;Early Access Single-player;Partial Controller Support Early Access;RPG;Strategy
//SNOWFLAKE TATTOO//,Action;Adventure;Indie;RPG Single-player;Steam Trading Cards Adventure;RPG;Indie
Thunderbird: The Legend Begins,Adventure;Casual;Indie Single-player;VR Support Adventure;Indie;Casual
Stratus: Battle For The Sky,Indie;Strategy;Early Access Single-player;Multi-player;MMO Early Access;Strategy;Indie
Leadwerks Game Launcher,Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Early Access Full controller support;Steam Workshop;Steam Leaderboards Early Access;Software Training;Design & Illustration
Crazy Belts,Casual;Indie Single-player;Steam Achievements Indie;Casual;Puzzle
The Albino Hunter,Adventure;Indie;RPG Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support RPG;Indie;Adventure
Last Word,Adventure;Casual;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards RPG;Indie;Adventure
Trigger Runners,Action;Adventure;Indie;Racing Single-player Action;Indie;Adventure
ENIGMA : An Illusion Named Family,Adventure;Indie;RPG Single-player;Partial Controller Support Indie;Adventure;RPG
Leo’s Fortune - HD Edition,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Leaderboards Indie;Adventure;Platformer
Pirates vs Corsairs: Davy Jones's Gold,Strategy Single-player;Multi-player Strategy;Pirates
Puzzle Expedition,Casual Single-player;Steam Cloud Casual;Puzzle
Deputy Dangle,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Action;Indie;Adventure
Drizzlepath,Adventure;Casual;Indie Single-player;Full controller support;Steam Trading Cards Casual;Indie;Adventure
Styx: Shards of Darkness,Violent;Action;Adventure Single-player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Stealth;Adventure;Action
Space Run Galaxy,Indie;Strategy Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Indie;Tower Defense
Centauri Sector,Action;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Indie;Action
FutureGrind,Action;Indie;Racing;Sports Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards Action;Indie;Platformer
Survarium,Action;Free to Play;Massively Multiplayer;RPG;Early Access Online Multi-Player;MMO;Online Co-op;Steam Achievements;Steam Trading Cards Early Access;Free to Play;Survival
Albino Lullaby: Episode 1,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud Adventure;Indie;Action
Piloteer,Indie;Simulation Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats Indie;Simulation
