name,combined_features
QUAKE II Mission Pack: The Reckoning,Action Single-player;Multi-player;Steam Cloud Action;FPS;Classic
QUAKE II Mission Pack: Ground Zero,Action Single-player;Multi-player;Steam Cloud Action;FPS;Shooter
QUAKE III: Team Arena,Action Single-player;Multi-player;Steam Cloud Action;FPS;Competitive
HeXen: Beyond Heretic,Action Single-player;Steam Cloud Action;FPS;Classic
HeXen: Deathkings of the Dark Citadel,Action Single-player;Steam Cloud Action;FPS;Classic
Heretic: Shadow of the Serpent Riders,Action Single-player;Multi-player;Steam Cloud Classic;Action;FPS
The Ship: Murder Party,Action;Indie;RPG Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled Multiplayer;Indie;Action
Bloody Good Time,Action Single-player;Multi-player;Steam Achievements Action;Multiplayer;FPS
Shadowgrounds,Action Single-player;Shared/Split Screen;Steam Trading Cards Action;Sci-fi;Top-Down Shooter
Gumboy - Crazy Adventures™,Casual;Indie Single-player Casual;Indie;Singleplayer
Alpha Prime,Action Single-player Action;FPS;Sci-fi
Vampire: The Masquerade - Bloodlines,Action Single-player RPG;Vampire;Cult Classic
GUN™,Action Single-player Western;Action;Open World
Call of Duty®,Action Single-player;Multi-player FPS;World War II;Action
Call of Duty® 2,Action Single-player;Multi-player Action;World War II;FPS
Call of Duty: United Offensive,Action Single-player;Multi-player Action;World War II;FPS
Act of War: Direct Action,Action Single-player;Multi-player Action;Strategy;RTS
ThreadSpace: Hyperbol,Action;Indie;Strategy Single-player;Multi-player;Includes level editor Strategy;Action;Indie
ARMA: Combat Operations,Action Single-player;Multi-player;Includes level editor Action;Simulation;Shooter
X2: The Threat,Strategy Single-player;Captions available;Steam Cloud Space;Strategy;Simulation
X3: Reunion,Strategy Single-player;Captions available;Steam Cloud Space;Simulation;Strategy
X3: Terran Conflict,Action;Simulation;Strategy Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud Space;Simulation;Sci-fi
X: Beyond the Frontier,Simulation;Strategy Single-player;Steam Cloud Simulation;Space;Strategy
X: Tension,Simulation;Strategy Single-player;Steam Cloud Simulation;Strategy;Space
X Rebirth,Action;Simulation Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud Space;Simulation;Sci-fi
688(I) Hunter/Killer,Strategy Single-player;Multi-player Strategy;Simulation;Naval
Fleet Command,Strategy Single-player Strategy;Simulation;Naval
Sub Command,Strategy Single-player;Multi-player;Co-op;Includes level editor Strategy;Simulation;Naval
FlatOut 2™,Racing Single-player Racing;Destruction;Multiplayer
Xpand Rally,Racing Single-player;Multi-player Racing;Multiplayer
Call of Juarez™,Action Single-player;Multi-player;Steam Trading Cards Western;Action;FPS
Xpand Rally Xtreme,Racing Single-player;Multi-player Racing;Offroad;Simulation
Men of War: Red Tide,Strategy Single-player;Steam Cloud Strategy;World War II;RTS
King's Bounty: Armored Princess,RPG;Strategy Single-player;Steam Cloud RPG;Turn-Based Strategy;Strategy
Genesis Rising,Strategy Single-player;Multi-player Strategy;Space;Sci-fi
Safecracker: The Ultimate Puzzle Adventure,Adventure;Casual Single-player Puzzle;Adventure;Casual
Painkiller Overdose,Action Single-player;Multi-player Action;FPS;Shooter
Zuma Deluxe,Casual Single-player Casual;Match 3;Puzzle
Heavy Weapon Deluxe,Casual Single-player Casual;Arcade;Action
Peggle Deluxe,Casual Single-player Casual;Puzzle;Arcade
Peggle Extreme,Casual Single-player Casual;Puzzle;Free to Play
Venice Deluxe,Casual Single-player Casual
Mystery P.I.™ - The Lottery Ticket,Casual Single-player Casual;Hidden Object
Amazing Adventures The Lost Tomb™,Casual Single-player Casual;Hidden Object;Puzzle
Mystery P.I.™ - The Vegas Heist,Casual Single-player Casual;Hidden Object
Amazing Adventures Around the World,Casual Single-player Casual;Hidden Object;Puzzle
Peggle™ Nights,Casual Single-player Casual;Puzzle;Singleplayer
Bejeweled Twist,Strategy;Casual Single-player Casual;Strategy;Match 3
Mystery P.I.™ - The New York Fortune,Casual Single-player Casual;Hidden Object
The Wizard's Pen™,Casual Single-player Casual;Hidden Object
Plants vs. Zombies GOTY Edition,Strategy Single-player;Steam Achievements Tower Defense;Zombies;Strategy
Escape Rosecliff Island,Casual Single-player Casual;Hidden Object;Puzzle
Mystery P.I. - Lost in Los Angeles,Casual Single-player Casual;Hidden Object
Zuma's Revenge!,Action;Casual Single-player;Steam Achievements;Stats Casual;Action;Match 3
Sniper Elite,Action Single-player;Steam Trading Cards Action;Sniper;Stealth
Judge Dredd: Dredd vs. Death,Action Single-player;Multi-player;Co-op Action;FPS;First-Person
Evil Genius,Strategy Single-player Base-Building;Strategy;Villain Protagonist
Aliens versus Predator Classic 2000,Action Single-player;Multi-player FPS;Action;Classic
Advent Rising,Action Single-player;Steam Trading Cards Action;Sci-fi;Story Rich
BloodRayne,Action Single-player;Steam Trading Cards Action;Vampire;Female Protagonist
BloodRayne 2,Action Single-player;Steam Trading Cards Action;Vampire;Female Protagonist
Psychonauts,Action Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Platformer;Comedy;Adventure
Sid Meier's Civilization® IV,Strategy Single-player;Multi-player;Includes level editor Strategy;Turn-Based Strategy;Turn-Based
Sid Meier's Civilization® III Complete,Strategy Single-player;Multi-player;Includes level editor Strategy;Turn-Based Strategy;Turn-Based
Sid Meier's Pirates!,RPG Single-player Pirates;Open World;RPG
Shattered Union,Strategy Single-player;Multi-player Strategy;Turn-Based Strategy
CivCity: Rome,Strategy Single-player Strategy;City Builder;Simulation
Civilization IV®: Warlords,Strategy Single-player Strategy;Turn-Based;4X
Garry's Mod,Indie;Simulation Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor Sandbox;Multiplayer;Funny
Poker Superstars II,Casual;Strategy;Indie Single-player Card Game
RACE - The WTCC Game,Racing Single-player;Multi-player Racing;Simulation
RACE: Caterham Expansion,Racing Single-player;Multi-player Racing;Simulation
RoboBlitz,Action;Indie Single-player;Partial Controller Support;Includes level editor Action;Indie;Puzzle
